,artists,duration_ms,explicit,id,mode,name,popularity,release_date,year,language,combined_features
132259,['Tracy Chapman'],181267,0,7wBf5LhqfF6A9AVHILTJWi,1,If Not Now...,48,1988-04-05,1988,,['Tracy Chapman'] 1988-04-05
17849,"[""Anita O'Day"", 'Oscar Peterson Quartet']",241000,0,25WtkgYzdYCR0n1IsnvnxY,1,I've Got The World On A String,16,1957-01-01,1957,,"[""Anita O'Day"", 'Oscar Peterson Quartet'] 1957-01-01"
108334,['Frente Popular'],95973,0,0zNaYXRKM2fPsMSWct7YSK,1,Mamita Mia - Remastered,2,1936-03-12,1936,,['Frente Popular'] 1936-03-12
163389,"['Giacomo Puccini', 'Maria Callas', 'Herbert von Karajan', 'Orchestra Del Teatro Alla Scala, Milano']",212480,0,3lHmvtlqo421jbAfQM1Q2a,0,"Puccini: Madama Butterfly, Act 2: ""Che tua madre dovrà"" (Butterfly)",13,1955,1955,,"['Giacomo Puccini', 'Maria Callas', 'Herbert von Karajan', 'Orchestra Del Teatro Alla Scala, Milano'] 1955"
157173,['Chuck Mangione'],613040,0,450X6juQ93aqSeEfigaWtz,1,Maui-Waui,34,1977-12-08,1977,,['Chuck Mangione'] 1977-12-08
123575,['Tom Petty'],298600,0,7bBJ2wBvhbCiNaZRqG3yTr,1,Honey Bee,45,1994-10-21,1994,,['Tom Petty'] 1994-10-21
5067,['The Black Crowes'],313760,0,3sGx2KM96oeSp4bR90stYe,1,Stare It Cold,36,1990-02-13,1990,English,['The Black Crowes'] 1990-02-13
809,"['Max Bruch', 'Isaac Stern', 'Eugene Ormandy', 'Philadelphia Orchestra']",512800,0,56qNZGOr3Aaj6l40lR5fck,1,"Violin Concerto No. 1 in G Minor, Op. 26: II. Adagio",0,1947,1947,,"['Max Bruch', 'Isaac Stern', 'Eugene Ormandy', 'Philadelphia Orchestra'] 1947"
44682,['Grateful Dead'],319049,0,0LySJYHLVsptnmWaSKIzDi,1,Tons of Steel - 2013 Remaster,27,1987,1987,,['Grateful Dead'] 1987
89195,['Roy Fox'],174627,0,28PPmTajNWKDsqQ9TOXhAB,1,On a Steamer Coming Over,1,1934,1934,,['Roy Fox'] 1934
33251,"['Ruggero Leoncavallo', 'Alfredo Simonetto', 'Carla Gavazzi', 'Marcello Rossi', 'Carlo Tagliabue', 'Orchestra Sinfonica e Coro di Milano della RAI']",83907,0,2Cu5IXSRvwVGhvDUqL9cJ2,0,"Leoncavallo: Pagliacci, Act I Scene 3: Non mi tentar! (Nedda, Silvio, Tonio)",0,1951-01-01,1951,,"['Ruggero Leoncavallo', 'Alfredo Simonetto', 'Carla Gavazzi', 'Marcello Rossi', 'Carlo Tagliabue', 'Orchestra Sinfonica e Coro di Milano della RAI'] 1951-01-01"
107980,"[""Orchestra Sinfonica e Coro dell'Eiar""]",259267,0,0sne8dKQBNtJaM04GOxPhm,1,Marcia Delle Legioni (Roma Rivendica L'Impero),2,1933,1933,,"[""Orchestra Sinfonica e Coro dell'Eiar""] 1933"
128591,"['Johannes Brahms', 'Arturo Toscanini']",544960,0,01XW7KrY2WDZ5VHCribChr,0,"Symphony No. 4 in E Minor, Op. 98: IV. Allegro energico e passionata",0,1951,1951,,"['Johannes Brahms', 'Arturo Toscanini'] 1951"
86057,['Sum 41'],178267,1,4KacUpvbA3Mfo05gttTjhN,1,Fat Lip,72,2001-01-01,2001,,['Sum 41'] 2001-01-01
3170,['Shuggie Otis'],202867,0,1vRwPRZUvEitotI7vcdvQY,1,Someone's Always Singing,32,1971,1971,English,['Shuggie Otis'] 1971
64769,['Nelson Riddle'],132800,0,6PHXXl3x2nNPoilqsAASU9,0,Instant Music (Two Beat Society),12,1962-06-21,1962,,['Nelson Riddle'] 1962-06-21
34246,['Frank Sinatra'],49173,0,16DHL2lmakRwFafm5Lp7ag,1,I'm Getting Sentimental Over You (Reprise),10,1961-10,1961,,['Frank Sinatra'] 1961-10
70381,['Cardi B'],229005,1,1vBeIXlzbAieGoDqInav5j,0,Money Bag,60,2018-04-06,2018,,['Cardi B'] 2018-04-06
49479,['Sonny Stitt'],235987,0,1dxcKJDTSSmHvNufB8S0DR,0,Cool Blues,5,1958-01-01,1958,,['Sonny Stitt'] 1958-01-01
70273,"['Maroon 5', 'SZA']",199849,0,6YVpU5vVxezJCYeQUxIkRT,0,What Lovers Do (feat. SZA),57,2017-08-30,2017,,"['Maroon 5', 'SZA'] 2017-08-30"
38631,['Arcade Fire'],289733,0,6oMBDrzwGG1BzCoZyPyGuG,1,Neighborhood #4 (7 Kettles),45,2004-06-16,2004,,['Arcade Fire'] 2004-06-16
47772,['BTS'],235780,0,5nq1uTNIR1cBR72T87viS0,0,Go Go,65,2017-09-18,2017,,['BTS'] 2017-09-18
109342,"['Fritz Kreisler', 'Isaac Stern']",106573,0,0t3Zr8U65UiAst1957weol,1,Schön Rosmarin,2,1947,1947,,"['Fritz Kreisler', 'Isaac Stern'] 1947"
27996,['David Gilmour'],220693,0,0mq6hJKswj2jXHnIPW0CDC,0,I Can't Breathe Anymore,26,1978-05-25,1978,,['David Gilmour'] 1978-05-25
117590,['Ratnaprabha'],202896,0,6pSgQM1k5wPCWsfZE86JPg,1,Prabhu Laaj Bhakton Ki Rakhe Sada,0,1934-12-31,1934,,['Ratnaprabha'] 1934-12-31
42573,['Al Martino'],185627,0,5VXpLSWsDVI0a0so4MU2O9,1,Crying In The Chapel,23,1965-09-04,1965,,['Al Martino'] 1965-09-04
113473,['Bad Religion'],67005,1,6kE91QjOimRTG5BW1BBj4D,1,Do What You Want,47,1988,1988,,['Bad Religion'] 1988
53962,['Klaus Badelt'],212733,0,3ai0FOnzj6FK2vuwc31A3W,1,Blood Ritual,41,2003-07-22,2003,,['Klaus Badelt'] 2003-07-22
53842,['The Cyrkle'],139493,0,213YUBpRZdZGCrtb2dcbzi,1,Red Rubber Ball,42,2002,2002,,['The Cyrkle'] 2002
103406,"['Andrew Lloyd Webber', '""Cats"" 1981 Original London Cast', 'Elaine Paige']",83520,0,5tlzPWUvrHRkc1SSvpiviT,1,End Of Act 1: Memory,49,1981-01-01,1981,,"['Andrew Lloyd Webber', '""Cats"" 1981 Original London Cast', 'Elaine Paige'] 1981-01-01"
72217,"['Johnny Burnette', 'The Johnny Mann Singers']",155867,0,40jvoevvxSFsdDE8to6VO7,0,Moody River,13,1962-06-07,1962,,"['Johnny Burnette', 'The Johnny Mann Singers'] 1962-06-07"
37942,['Dire Straits'],216067,0,6tM6gqc1liYA4403w1nyCc,1,Twisting by the Pool,34,1998-11-10,1998,,['Dire Straits'] 1998-11-10
31128,['Brantley Gilbert'],239387,0,2daFYFGhfrJizdJg6WVHve,1,My Kinda Party,42,2009-01-01,2009,,['Brantley Gilbert'] 2009-01-01
